,Web Link,URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,Number of warning notices issued in 2022/23 academic year,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Latest ungraded inspection number since last graded inspection,Does the ungraded inspection relate to the URN of the current school?,URN at time of the ungraded inspection,LAESTAB at time of the ungraded inspection,School name at time of the ungraded inspection,School type at time of the ungraded inspection,Number of ungraded inspections since the last graded inspection,Date of latest ungraded inspection,Ungraded inspection publication date,Did the latest ungraded inspection convert to a graded inspection?,Ungraded inspection overall outcome,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Inspection end date,Publication date,Does the latest graded inspection relate to the URN of the current school?,URN at time of latest graded inspection,LAESTAB at time of latest graded inspection,School name at time of latest graded inspection,School type at time of latest graded inspection,Current school type used for chart C6,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Previous inspection number,Previous inspection start date,Previous inspection end date,Previous publication date,Does the previous graded inspection relate to the URN of the current school?,URN at time of previous graded inspection,LAESTAB at time of previous graded inspection,School name at time of previous graded inspection,School type at time of previous graded inspection,Previous graded inspection overall effectiveness,Previous category of concern,Previous quality of education,Previous behaviour and attitudes,Previous personal development,Previous effectiveness of leadership and management,Previous safeguarding is effective?,Previous early years provision (where applicable),Previous sixth form provision (where applicable)
16235,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141815,141815.0,3303330.0,St Brigid's Catholic Primary School,Primary,Academy Converter,01/04/2015,Non-selective,Not applicable,Roman Catholic,Does not apply,Christian,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",5609.0,Lumen Christi Catholic Multi Academy Company,,,B31 5AB,,5.0,449.0,3.0,11.0,,,,,,,,,,,,,10285043,S5 Inspection,S5 Inspection,Schools - S5,06/06/2023,07/06/2023,20/07/2023,Yes,141815.0,3303330.0,St Brigid's Catholic Primary School,Academy Converter,Academy converter,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,ITS427073,05/11/2013,06/11/2013,25/11/2013,No,103432.0,3303330.0,St Brigid's Catholic Primary School,Voluntary Aided School,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
16240,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141820,141820.0,3303358.0,St James Catholic Primary School,Primary,Academy Converter,01/04/2015,Not applicable,Not applicable,Roman Catholic,Does not apply,Christian,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",5609.0,Lumen Christi Catholic Multi Academy Company,,,B45 9BN,,4.0,209.0,4.0,11.0,,,,,,,,,,,,,ITS323830,Section 5 RTI Historic,Section 5 RTI Historic,Schools - S5,14/07/2009,14/07/2009,10/09/2009,No,103450.0,3303358.0,St James Catholic Primary School,Voluntary Aided School,Academy Converter,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0,ITS276924,09/05/2006,10/05/2006,07/06/2006,No,103450.0,3303358.0,St James Catholic Primary School,Voluntary Aided School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
16250,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141830,141830.0,3303366.0,St Paul's Catholic Primary School,Primary,Academy Converter,01/04/2015,Not applicable,Not applicable,Roman Catholic,Does not apply,Christian,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",5609.0,Lumen Christi Catholic Multi Academy Company,,,B38 9JB,,5.0,188.0,3.0,11.0,,,,,,,,,,,,,10201050,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,16/11/2021,17/11/2021,13/01/2022,Yes,141830.0,3303366.0,St Paul's Catholic Primary School,Academy Converter,Academy converter,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,10042834,06/03/2018,07/03/2018,29/03/2018,Yes,141830.0,3303366.0,St Paul's Catholic Primary School,Academy Converter,3.0,,9.0,9.0,9.0,3.0,Yes,2.0,9.0
16254,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141835,141835.0,3304616.0,St Thomas Aquinas Catholic School,Secondary,Academy Converter,01/04/2015,Non-selective,Has a sixth form,Roman Catholic,Does not apply,Christian,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",5609.0,Lumen Christi Catholic Multi Academy Company,,,B38 8AP,,5.0,1168.0,11.0,18.0,,,,,,,,,,,,,10048341,Exempt School Inspection,Section 8 deemed section 5,Schools - S8 deemed S5,07/11/2018,08/11/2018,02/12/2018,Yes,141835.0,3304616.0,St Thomas Aquinas Catholic School,Academy Converter,Academy converter,2.0,,9.0,9.0,9.0,2.0,Yes,9.0,2.0,ITS376924,27/09/2011,28/09/2011,18/10/2011,No,103533.0,3304616.0,St Thomas Aquinas Catholic School,Voluntary Aided School,1.0,,9.0,9.0,9.0,1.0,9,9.0,2.0
16348,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141969,141969.0,3304021.0,"Eden Boys' School, Birmingham",Secondary,Free School,01/09/2015,Unknown,Does not have a sixth form,Muslim,None,Muslim,West Midlands,West Midlands,Birmingham,"Birmingham, Perry Barr",4903.0,STAR ACADEMIES,4904.0,Star Academies,B42 2SY,,5.0,607.0,11.0,18.0,,,,,,,,,,,,,10048352,S5 Inspection,S5 Inspection,Schools - S5,22/05/2018,23/05/2018,03/07/2018,Yes,141969.0,3304021.0,"Eden Boys' School, Birmingham",Free School,Free school,1.0,,9.0,9.0,9.0,1.0,Yes,9.0,9.0,,,,,,,,,,,,,,,,,,
16355,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/141977,141977.0,3302162.0,Manor Park Primary Academy,Primary,Academy Sponsor Led,01/02/2016,Not applicable,Does not have a sixth form,None,None,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",4320.0,REAch2 Academy Trust,4318.0,REAch2 Academy Trust,B6 5UQ,,5.0,370.0,3.0,11.0,,,,,,,,,,,,,10053417,Academy First Section 5,Academy First Section 5,Schools - S5,04/12/2018,05/12/2018,10/01/2019,Yes,141977.0,3302162.0,Manor Park Primary Academy,Academy Sponsor Led,Academy sponsor led,2.0,,9.0,9.0,9.0,1.0,Yes,1.0,9.0,ITS431118,01/05/2014,02/05/2014,23/06/2014,No,103545.0,3305204.0,Manor Park Primary School,Foundation School,4.0,SM,9.0,9.0,9.0,4.0,9,9.0,9.0
16432,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142071,142071.0,3301111.0,The Edge Academy,PRU,Free School - Alternative Provision,01/09/2015,Unknown,Does not have a sixth form,None,None,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",,,,,B31 2LQ,,5.0,5.0,11.0,16.0,,,,,,,,,,,,,10184713,Schools into Special Measures Visit 4,Section 8 deemed section 5,Schools - S8 deemed S5,15/06/2021,16/06/2021,12/07/2021,Yes,142071.0,3301111.0,The Edge Academy,Free School - Alternative Provision,Free school,2.0,,2.0,2.0,2.0,2.0,Yes,9.0,9.0,10048372,13/06/2018,14/06/2018,07/09/2018,Yes,142071.0,3301111.0,The Edge Academy,Free School - Alternative Provision,4.0,SM,9.0,9.0,9.0,4.0,No,9.0,9.0
16538,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142203,142203.0,3302263.0,Northfield Manor Primary Academy,Primary,Academy Converter,01/08/2015,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",5183.0,Victoria Academies Trust,5184.0,Victoria Academies Trust,B29 4JT,,5.0,416.0,4.0,11.0,,,,,,,,,,,,,10201053,S5 Inspection,S5 Inspection,Schools - S5,15/09/2021,16/09/2021,10/11/2021,Yes,142203.0,3302263.0,Northfield Manor Primary Academy,Academy Converter,Academy converter,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,ITS400606,23/01/2013,24/01/2013,13/02/2013,No,103304.0,3302263.0,Northfield Manor Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
16554,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142219,142219.0,3304009.0,Waverley School,Secondary,Academy Converter,01/08/2015,Non-selective,Has a sixth form,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Hodge Hill",5232.0,The Waverley Education Foundation Ltd,,,B9 5QA,,5.0,1689.0,4.0,19.0,,,,,,,,,,,,,10201030,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,28/09/2021,29/09/2021,10/11/2021,Yes,142219.0,3304009.0,Waverley School,Academy Converter,Academy converter,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,2.0,10043598,28/11/2017,29/11/2017,15/01/2018,Yes,142219.0,3304009.0,Waverley School,Academy Converter,3.0,,9.0,9.0,9.0,3.0,Yes,1.0,2.0
16562,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142230,142230.0,3302003.0,Prince Albert Junior and Infant School,Primary,Academy Converter,01/09/2015,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",15797.0,PA Community Trust,16089.0,Prince Albert Community Trust,B6 5NH,,5.0,708.0,3.0,11.0,,,,,,,,,,,,,ITS449297,S5 Inspection,S5 Inspection,Schools - S5,04/02/2015,05/02/2015,01/04/2015,No,103154.0,3302003.0,Prince Albert Junior and Infant School,Community School,Academy Converter,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0,ITS355330,20/09/2010,21/09/2010,16/02/2011,No,103154.0,3302003.0,Prince Albert Junior and Infant School,Community School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
16563,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142231,142231.0,3302309.0,Heathfield Primary School,Primary,Academy Converter,01/09/2015,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Perry Barr",15797.0,PA Community Trust,16089.0,Prince Albert Community Trust,B19 1HJ,,5.0,467.0,3.0,11.0,,,,,,,,,,,,,10048399,S5 Inspection,S5 Inspection,Schools - S5,12/06/2018,13/06/2018,19/07/2018,Yes,142231.0,3302309.0,Heathfield Primary School,Academy Converter,Academy converter,2.0,,9.0,9.0,9.0,2.0,Yes,2.0,9.0,ITS452283,18/11/2014,19/11/2014,15/12/2014,No,103329.0,3302309.0,Heathfield Primary School,Community School,3.0,,9.0,9.0,9.0,2.0,9,3.0,9.0
16669,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142353,142353.0,3302111.0,Jervoise School,Primary,Academy Converter,01/10/2015,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",15873.0,drb Ignite Multi Academy Trust,15876.0,drb Ignite Limited,B29 5QU,,5.0,204.0,3.0,11.0,10053451.0,Yes,142353.0,3302111.0,Jervoise School,Academy Converter,1.0,11/09/2018,16/10/2018,No,School remains Good,,ITS431109,S5 Inspection,S5 Inspection,Schools - S5,25/02/2014,26/02/2014,18/03/2014,No,103218.0,3302111.0,Jervoise School,Community School,Academy Converter,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,ITS376851,17/05/2012,18/05/2012,21/08/2012,No,103218.0,3302111.0,Jervoise School,Community School,3.0,,9.0,9.0,9.0,3.0,9,8.0,9.0
16674,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142358,142358.0,3302315.0,Nonsuch Primary School,Primary,Academy Converter,01/01/2016,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Edgbaston",16828.0,BIRMINGHAM DIOCESAN MULTI-ACADEMY TRUST,17076.0,Birmingham Diocesan Multi-Academy Trust,B32 3SE,,5.0,196.0,3.0,11.0,,,,,,,,,,,,,10201052,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,05/10/2021,06/10/2021,18/11/2021,Yes,142358.0,3302315.0,Nonsuch Primary School,Academy Converter,Academy converter,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,10045279,10/07/2018,11/07/2018,10/09/2018,Yes,142358.0,3302315.0,Nonsuch Primary School,Academy Converter,3.0,,9.0,9.0,9.0,2.0,Yes,2.0,9.0
16691,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142375,142375.0,3303314.0,St Thomas CofE Academy,Primary,Academy Converter,01/11/2015,Not applicable,Not applicable,Church of England,Does not apply,Christian,West Midlands,West Midlands,Birmingham,"Birmingham, Ladywood",15906.0,"All Saints Multi Academy Trust, Birmingham",2891.0,Diocese of Birmingham Education Trust,B15 2AT,,5.0,234.0,3.0,11.0,,,,,,,,,,,,,ITS404876,S5 Inspection,S5 Inspection,Schools - S5,14/03/2013,15/03/2013,16/04/2013,No,103419.0,3303314.0,St Thomas' Church of England VA Primary School,Voluntary Aided School,Academy Converter,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,ITS355379,15/06/2011,16/06/2011,30/06/2011,No,103419.0,3303314.0,St Thomas' Church of England VA Primary School,Voluntary Aided School,3.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
16702,http://www.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/142386,142386.0,3302480.0,Wychall Primary School,Primary,Academy Converter,01/10/2015,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,West Midlands,West Midlands,Birmingham,"Birmingham, Northfield",15873.0,drb Ignite Multi Academy Trust,15876.0,drb Ignite Limited,B31 3EH,,5.0,380.0,3.0,11.0,,,,,,,,,,,,,10122470,Requires Improvement S5 Reinspection Visit 1,Requires Improvement S5 Reinspection Visit 1,Schools - S5,11/02/2020,12/02/2020,03/03/2020,Yes,142386.0,3302480.0,Wychall Primary School,Academy Converter,Academy converter,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,10037106,08/11/2017,09/11/2017,28/11/2017,Yes,142386.0,3302480.0,Wychall Primary School,Academy Converter,3.0,,9.0,9.0,9.0,3.0,Yes,3.0,9.0
